step,LPF,force,u_x,u_y
0,0.,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
1,0.0187991,6.152416514939e-02,-1.051532576614e-02,5.697139653947e-01
2,0.0376621,1.232577808643e-01,3.596103886256e-03,1.140890949248e+00
3,0.0565814,1.851754081130e-01,4.213363248870e-02,1.712552389279e+00
4,0.0755196,2.471550730420e-01,1.045280030576e-01,2.283625723361e+00
5,0.0943833,3.088908712273e-01,1.896032444291e-01,2.852705212674e+00
6,0.112956,3.696756624577e-01,2.949374498576e-01,3.417191056448e+00
7,0.130752,4.279159095189e-01,4.152917555391e-01,3.970854994540e+00
8,0.146825,4.805171171063e-01,5.401255917853e-01,4.499871773020e+00
9,0.160032,5.237415569290e-01,6.548207148142e-01,4.986222835864e+00
10,0.170015,5.564111711285e-01,7.504927579757e-01,5.426458265964e+00
11,0.177373,5.804928201263e-01,8.285472977517e-01,5.836109628171e+00
12,0.182909,5.986116085437e-01,8.944671950774e-01,6.233747199138e+00
13,0.187229,6.127488973248e-01,9.531887388188e-01,6.632426863208e+00
14,0.190728,6.242003988278e-01,1.008223762604e+00,7.039741087982e+00
15,0.19366,6.337965388089e-01,1.061948542249e+00,7.459657862843e+00
16,0.196191,6.420790949711e-01,1.115978411240e+00,7.893973432675e+00
17,0.198431,6.494114362136e-01,1.171435380622e+00,8.343224283166e+00
18,0.200458,6.560442735150e-01,1.229119491714e+00,8.807231569577e+00
19,0.202325,6.621551809054e-01,1.289616630193e+00,9.285423984320e+00
20,0.204072,6.678729190975e-01,1.353367054049e+00,9.777029664154e+00
21,0.205728,6.732928232040e-01,1.420709783218e+00,1.028119017342e+01
22,0.207315,6.784868044367e-01,1.491911967105e+00,1.079702757282e+01
23,0.20885,6.835100165743e-01,1.567188723768e+00,1.132368296679e+01
24,0.210346,6.884054020961e-01,1.646716810564e+00,1.186033762208e+01
25,0.211813,6.932068568795e-01,1.730644220635e+00,1.240622344524e+01
26,0.21326,6.979414744412e-01,1.819097037176e+00,1.296062701664e+01
27,0.214693,7.026311642301e-01,1.912184409177e+00,1.352288979513e+01
28,0.216118,7.072938362941e-01,2.010002219104e+00,1.409240612488e+01
29,0.217539,7.119442804473e-01,2.112635825760e+00,1.466862006100e+01
30,0.21896,7.165948268712e-01,2.220162143967e+00,1.525102164192e+01
31,0.220384,7.212558481289e-01,2.332651242330e+00,1.583914299122e+01
32,0.221814,7.259361446066e-01,2.450167586402e+00,1.643255447511e+01
33,0.223252,7.306432432315e-01,2.572771017853e+00,1.703086104378e+01
34,0.224701,7.353836309437e-01,2.700517534897e+00,1.763369882239e+01
35,0.226161,7.401629385635e-01,2.833459921496e+00,1.824073197954e+01
36,0.227635,7.449860865680e-01,2.971648260356e+00,1.885164987735e+01
37,0.229123,7.498574013389e-01,3.115130355741e+00,1.946616449388e+01
38,0.230627,7.547807083090e-01,3.263952085649e+00,2.008400810092e+01
39,0.232149,7.597594068711e-01,3.418157698161e+00,2.070493117651e+01
40,0.233688,7.647965307630e-01,3.577790063286e+00,2.132870053044e+01
41,0.235246,7.698947967759e-01,3.742890888982e+00,2.195509762076e+01
42,0.236823,7.750566439949e-01,3.913500908131e+00,2.258391704062e+01
43,0.23842,7.802842652790e-01,4.089660041691e+00,2.321496515605e+01
44,0.240038,7.855796323210e-01,4.271407542164e+00,2.384805887675e+01
45,0.241677,7.909445153291e-01,4.458782120573e+00,2.448302454370e+01
46,0.243338,7.963804981516e-01,4.651822059510e+00,2.511969691895e+01
47,0.245022,8.018889894855e-01,4.850565314197e+00,2.575791826433e+01
48,0.246727,8.074712306673e-01,5.055049603108e+00,2.639753749722e+01
49,0.248456,8.131283004361e-01,5.265312489311e+00,2.703840941255e+01
50,0.250208,8.188611169612e-01,5.481391453373e+00,2.768039396151e+01
51,0.251983,8.246704373586e-01,5.703323958448e+00,2.832335557803e+01
52,0.253781,8.305568548517e-01,5.931147507888e+00,2.896716254506e+01
53,0.255604,8.365207936860e-01,6.164899695547e+00,2.961168639335e+01
54,0.25745,8.425625018572e-01,6.404618248748e+00,3.025680132576e+01
55,0.25932,8.486820416783e-01,6.650341063685e+00,3.090238366083e+01
56,0.261213,8.548792781745e-01,6.902106232867e+00,3.154831128948e+01
57,0.26313,8.611538652653e-01,7.159952064020e+00,3.219446313914e+01
58,0.265071,8.675052296659e-01,7.423917089680e+00,3.284071863948e+01
59,0.267035,8.739325524138e-01,7.694040066497e+00,3.348695718458e+01
60,0.269022,8.804347479054e-01,7.970359963079e+00,3.413305758562e+01
61,0.271031,8.870104403017e-01,8.252915934965e+00,3.477889750895e+01
62,0.273062,8.936579371465e-01,8.541747285065e+00,3.542435289368e+01
63,0.275115,9.003752000180e-01,8.836893407642e+00,3.606929734314e+01
64,0.277188,9.071598120212e-01,9.138393713623e+00,3.671360148417e+01
65,0.279281,9.140089419114e-01,9.446287534676e+00,3.735713228801e+01
66,0.281392,9.209193046297e-01,9.760614003192e+00,3.799975234627e+01
67,0.283521,9.278871180219e-01,1.008141190486e+01,3.864131909501e+01
68,0.285666,9.349080555104e-01,1.040871950021e+01,3.928168397971e+01
69,0.287826,9.419771944914e-01,1.074257431091e+01,3.992069155335e+01
70,0.289999,9.490889602416e-01,1.108301286635e+01,4.055817849947e+01
71,0.292184,9.562370651384e-01,1.143007040534e+01,4.119397257162e+01
72,0.294377,9.634144430343e-01,1.178378052741e+01,4.182789144022e+01
73,0.296576,9.706131786741e-01,1.214417478760e+01,4.245974143721e+01
74,0.29878,9.778244321142e-01,1.251128222819e+01,4.308931618896e+01
75,0.300984,9.850383581982e-01,1.288512884027e+01,4.371639512709e+01
76,0.303186,9.922440212632e-01,1.326573694784e+01,4.434074186725e+01
77,0.305381,9.994293054107e-01,1.365312450639e+01,4.496210244548e+01
78,0.307566,1.006580820872e+00,1.404730430826e+01,4.558020340217e+01
79,0.309737,1.013683807245e+00,1.444828308641e+01,4.619474970431e+01
80,0.311887,1.020722034670e+00,1.485606050888e+01,4.680542249715e+01
81,0.314013,1.027677704384e+00,1.527062805631e+01,4.741187667793e+01
82,0.316107,1.034531350500e+00,1.569196777556e+01,4.801373828596e+01
83,0.318163,1.041261745364e+00,1.612005090382e+01,4.861060170542e+01
84,0.320175,1.047845811399e+00,1.655483635858e+01,4.920202668041e+01
85,0.322135,1.054258542987e+00,1.699626909083e+01,4.978753514506e+01
86,0.324033,1.060472942640e+00,1.744427830114e+01,5.036660787610e+01
87,0.325863,1.066459976468e+00,1.789877552039e+01,5.093868098060e+01
88,0.327613,1.072188554737e+00,1.835965255995e+01,5.150314223787e+01
89,0.329274,1.077625544129e+00,1.882677933860e+01,5.205932732229e+01
90,0.330836,1.082735819088e+00,1.930000159600e+01,5.260651594315e+01
91,0.332286,1.087482360345e+00,1.977913850490e+01,5.314392794885e+01
92,0.333614,1.091826409347e+00,2.026398019537e+01,5.367071945737e+01
93,0.334806,1.095727687695e+00,2.075428520513e+01,5.418597909322e+01
94,0.33585,1.099144690935e+00,2.124977786976e+01,5.468872443530e+01
95,0.336733,1.102035065870e+00,2.175014566594e+01,5.517789881238e+01
96,0.337442,1.104356080069e+00,2.225503652014e+01,5.565236862604e+01
97,0.337964,1.106065191191e+00,2.276405609766e+01,5.611092143843e+01
98,0.338287,1.107120722082e+00,2.327676509252e+01,5.655226513741e+01
99,0.338397,1.107482645081e+00,2.379267655478e+01,5.697502858752e+01
100,0.338285,1.107113475383e+00,2.431125331959e+01,5.737776429159e+01
101,0.337938,1.105979268235e+00,2.483190565091e+01,5.775895372121e+01
102,0.337349,1.104050707799e+00,2.535398928419e+01,5.811701611217e+01
103,0.33651,1.101304266148e+00,2.587680415235e+01,5.845032164006e+01
104,0.335415,1.097723398662e+00,2.639959420346e+01,5.875720995267e+01
105,0.334064,1.093299727057e+00,2.692154885634e+01,5.903601498528e+01
106,0.332455,1.088034143881e+00,2.744180676705e+01,5.928509675359e+01
107,0.330592,1.081937754539e+00,2.795946265416e+01,5.950288033928e+01
108,0.328482,1.075032557965e+00,2.847357790013e+01,5.968790150927e+01
109,0.326135,1.067351760094e+00,2.898319545222e+01,5.983885735400e+01
110,0.323565,1.058939621035e+00,2.948735914836e+01,5.995465909893e+01
111,0.320788,1.049850762652e+00,2.998513699263e+01,6.003448305545e+01
112,0.317823,1.040148909918e+00,3.047564717368e+01,6.007781484765e+01
113,0.314693,1.029905103221e+00,3.095808490244e+01,6.008448190828e+01
114,0.311421,1.019195489316e+00,3.143174763857e+01,6.005467000488e+01
115,0.30803,1.008098860437e+00,3.189605615645e+01,5.998892123216e+01
116,0.304545,9.966941485024e-01,3.235056926414e+01,5.988811320068e+01
117,0.30099,9.850580841527e-01,3.279499078185e+01,5.975342156270e+01
118,0.297386,9.732631979652e-01,3.322916842823e+01,5.958626998794e+01
119,0.293754,9.613762827890e-01,3.365308530204e+01,5.938827282671e+01
120,0.290112,9.494573670520e-01,3.406684545365e+01,5.916117583736e+01
121,0.286476,9.375591846468e-01,3.447065548434e+01,5.890679964935e+01
122,0.282861,9.257270787620e-01,3.486480417512e+01,5.862698939901e+01
123,0.279278,9.139992493511e-01,3.524964191249e+01,5.832357257274e+01
124,0.275736,9.024072455952e-01,3.562556126866e+01,5.799832580935e+01
125,0.272243,8.909766108993e-01,3.599297963128e+01,5.765295042110e+01
126,0.268806,8.797276027782e-01,3.635232435079e+01,5.728905574238e+01
127,0.265429,8.686759282097e-01,3.670402053324e+01,5.690814907704e+01
128,0.262116,8.578334529442e-01,3.704848136602e+01,5.651163091821e+01
129,0.258869,8.472088587262e-01,3.738610071818e+01,5.610079417708e+01
130,0.255691,8.368082345519e-01,3.771724768469e+01,5.567682630969e+01
131,0.252583,8.266355969359e-01,3.804226272586e+01,5.524081341977e+01
132,0.249545,8.166933401224e-01,3.836145506806e+01,5.479374560686e+01
133,0.246578,8.069826208584e-01,3.867510106578e+01,5.433652300324e+01
134,0.243682,7.975036843383e-01,3.898344326666e+01,5.386996209090e+01
135,0.240856,7.882561387735e-01,3.928668996342e+01,5.339480200956e+01
136,0.238101,7.792391861230e-01,3.958501505607e+01,5.291171066015e+01
137,0.235416,7.704518161692e-01,3.987855808151e+01,5.242129047842e+01
138,0.232801,7.618929705308e-01,4.016742429624e+01,5.192408380561e+01
139,0.230255,7.535616825267e-01,4.045168471993e+01,5.142057781960e+01
140,0.227779,7.454571981197e-01,4.073137606481e+01,5.091120901632e+01
141,0.225371,7.375790825387e-01,4.100650048808e+01,5.039636724837e+01
142,0.223033,7.299273166215e-01,4.127702511282e+01,4.987639933919e+01
143,0.220765,7.225023864612e-01,4.154288126737e+01,4.935161229888e+01
144,0.218566,7.153053695693e-01,4.180396339493e+01,4.882227617161e+01
145,0.216437,7.083380204968e-01,4.206012758390e+01,4.828862654818e+01
146,0.214379,7.016028586694e-01,4.231118966615e+01,4.775086677895e+01
147,0.212393,6.951032610899e-01,4.255692282459e+01,4.720916992524e+01
148,0.21048,6.888435625365e-01,4.279705464395e+01,4.666368048992e+01
149,0.208642,6.828291659254e-01,4.303126352896e+01,4.611451597307e+01
150,0.206881,6.770666656072e-01,4.325917440329e+01,4.556176830562e+01
151,0.2052,6.715639865050e-01,4.348035359018e+01,4.500550522472e+01
152,0.203601,6.663305421625e-01,4.369430276320e+01,4.444577167007e+01
153,0.202088,6.613774149056e-01,4.390045184383e+01,4.388259130308e+01
154,0.200664,6.567175613785e-01,4.409815071411e+01,4.331596828158e+01
155,0.199334,6.523660465811e-01,4.428665961135e+01,4.274588946657e+01
156,0.198104,6.483403090647e-01,4.446513808380e+01,4.217232729624e+01
157,0.19698,6.446604588698e-01,4.463263242180e+01,4.159524364190e+01
158,0.195968,6.413496077367e-01,4.478806155351e+01,4.101459506481e+01
159,0.195077,6.384342275012e-01,4.493020153206e+01,4.043034002710e+01
160,0.194316,6.359445265544e-01,4.505766897716e+01,3.984244877458e+01
161,0.193696,6.339148246169e-01,4.516890421909e+01,3.925091679972e+01
162,0.193228,6.323838913126e-01,4.526215549260e+01,3.865578298780e+01
163,0.192926,6.313951923727e-01,4.533546642187e+01,3.805715369685e+01
164,0.192805,6.309969572304e-01,4.538667029824e+01,3.745523402187e+01
165,0.192879,6.312419432178e-01,4.541339630089e+01,3.685036716519e+01
166,0.193168,6.321867281976e-01,4.541309472142e+01,3.624308189645e+01
167,0.193689,6.338903264704e-01,4.538308999307e+01,3.563414617122e+01
168,0.194459,6.364119155676e-01,4.532067094940e+01,3.502462174759e+01
169,0.195497,6.398075218135e-01,4.522322566605e+01,3.441591009347e+01
170,0.196816,6.441256848739e-01,4.508842152318e+01,3.380977488286e+01
171,0.198429,6.494024298507e-01,4.491441853435e+01,3.320832322965e+01
172,0.200339,6.556562741711e-01,4.470008710952e+01,3.261393010389e+01
173,0.202548,6.628843349547e-01,4.444518602540e+01,3.202910120002e+01
174,0.205046,6.710606380879e-01,4.415045331263e+01,3.145628831347e+01
175,0.20782,6.801373188439e-01,4.381757756345e+01,3.089769070999e+01
176,0.210848,6.900486079999e-01,4.344904979882e+01,3.035508549205e+01
177,0.214108,7.007166946937e-01,4.304793014362e+01,2.982972235811e+01
178,0.217573,7.120581346379e-01,4.261758341629e+01,2.932229693312e+01
179,0.221219,7.239895842414e-01,4.216143545209e+01,2.883299345761e+01
180,0.225021,7.364321198081e-01,4.168278352913e+01,2.836157282703e+01
181,0.228957,7.493139423219e-01,4.118467203205e+01,2.790747906554e+01
182,0.233008,7.625716646969e-01,4.066982723839e+01,2.746994333078e+01
183,0.237157,7.761505422067e-01,4.014063766436e+01,2.704807276072e+01
184,0.24139,7.900040341152e-01,3.959916416187e+01,2.664091974485e+01
185,0.245695,8.040930036881e-01,3.904716703108e+01,2.624753181655e+01
186,0.250062,8.183847746292e-01,3.848614076428e+01,2.586698505982e+01
